answer,prompt,llm_answer,llm_answer__1,llm_answer__2,llm_answer__3,llm_answer__4,llm_answer__5,fleek_score,selfcheck_nli_score,selfcheck_bert_score,lm_v_lm_score,lbhd_score
"['Chhattisgarh', 'Madhya Pradesh']",which state is located in the centre of india,"([""['"", 'Mad', 'hya', ' Pradesh', ' is', ' the', ' state', ' located', ' in', ' the', ' center', ' of', ' India', ""']""], [-0.0052830884, -0.04287255, -2.8160932e-06, 0.0, -0.0004156569, -0.21836853, -0.00050251605, -0.0037107659, -0.00045379106, -1.5928495e-05, -0.06411341, -3.1281633e-07, -2.4987974e-05, -0.00073839625], [0.9947308425678792, 0.9580334836539433, 0.9999971839107652, 1.0, 0.9995844294733616, 0.8038291519167264, 0.9994976101900435, 0.9962961104836029, 0.9995463118875902, 0.9999840716318578, 0.9378986264157342, 0.9999996871837189, 0.9999750123381969, 0.9992618762974242], 'Madhya Pradesh is the state located in the center of India')","(None, None, None, ""['Madhya Pradesh is located in the center of India']"")","(None, None, None, ""['Madhya Pradesh is the state located in the centre of India']"")","(None, None, None, ""['Madhya Pradesh is the state located in the centre of India']"")","(None, None, None, ""['Madhya Pradesh is located in the center of India']"")","(None, None, None, ""['Madhya Pradesh is the state located in the center of India']"")",0,0.000959785096347332,0.3360334038734436,0.0,"{'avg': 0.9900738661062558, 'normalized_product': 0.9898596962619275, 'min': 0.9378986264157342, 'concepts': [{'Madhya Pradesh': {'avg': 0.9860102225215694, 'normalized_product': 0.9858098541189908, 'min': 0.9580334836539433}}, {'state': {'avg': 0.9994976101900435, 'normalized_product': 0.9994976101900435, 'min': 0.9994976101900435}}, {'center of India': {'avg': 0.9792911086458833, 'normalized_product': 0.9788473526999785, 'min': 0.9378986264157342}}]}"
['The Impalas'],who sang i ran all the way home,"([""['"", 'The', ' band', ' The', ' Imp', 'al', 'as', ' sang', ' the', ' song', ' ""', 'I', ' Ran', ' All', ' the', ' Way', ' Home', '""', ""']""], [-0.0067383423, -0.5470409, -1.0951409, -0.55474514, -0.039626338, -0.0023291481, -3.059055e-05, -0.0014008333, -0.25759795, -0.00014525715, -0.0034474223, -0.007590895, -0.00505171, -0.03477443, -0.021670002, -0.00011915887, -9.3291674e-05, -0.0037962731, -0.00025347207], [0.993284309421568, 0.5786595910227241, 0.3344924736386082, 0.5742185878985442, 0.9611485167383823, 0.9976735622607503, 0.9999694099178861, 0.9986001474089772, 0.7729059164711359, 0.9998547533993091, 0.9965585132375301, 0.9924378430815557, 0.9949610284276542, 0.9658232524390418, 0.9785631056426912, 0.9998808482291361, 0.999906712677533, 0.9962109236349208, 0.9997465600513311], 'The band The Impalas sang the song I Ran All the Way Home')","(None, None, None, '[\'The Proclaimers sang ""I\'m Gonna Be (500 Miles)""]')","(None, None, None, '[\'The Impalas sang the song ""I Ran All the Way Home""\']')","(None, None, None, '[\'Ultravox sang ""I Ran (So Far Away)""\']')","(None, None, None, '[\'Artists Tim and Jeff Buckley both sang ""I Ran All the Way Home""\']')","(None, None, None, '[\'The song ""I Ran (So Far Away)"" was sung by the band A Flock of Seagulls\']')",1,0.7988381521427073,0.657262670993805,0.0,"{'avg': 0.8980599543534528, 'normalized_product': 0.8651843761652179, 'min': 0.3344924736386082, 'concepts': [{'The Impalas': {'avg': 0.8832525192038907, 'normalized_product': 0.8614116308732797, 'min': 0.5742185878985442}}, {'sang the song ': {'avg': 0.9419798326292381, 'normalized_product': 0.9364605661361856, 'min': 0.7729059164711359}}, {'I Ran All the Way Home': {'avg': 0.9896833877332191, 'normalized_product': 0.9896120795106247, 'min': 0.9658232524390418}}]}"
['a Scottish surname'],where did the last name wallace come from,"([""['"", 'The', ' last', ' name', ' Wallace', ' originated', ' in', ' Scotland', ""']""], [-0.0023600713, -0.0017278953, -0.004186198, -8.657073e-06, -0.004822415, -0.3105889, -0.3666465, -0.00013321757, -0.055514008], [0.9976427114786547, 0.998273596651648, 0.9958225519129668, 0.9999913429644723, 0.9951891941743003, 0.7330151564676862, 0.6930545965465421, 0.9998667913030664, 0.9459987720268218], 'The last name Wallace originated in Scotland')","(None, None, None, ""['The last name Wallace originated in Scotland']"")","(None, None, None, ""['The last name Wallace originated in Scotland']"")","(None, None, None, ""['The last name Wallace originated from Scotland']"")","(None, None, None, ""['The last name Wallace originated in Scotland']"")","(None, None, None, ""['The last name Wallace originated in Scotland']"")",1,0.0010183143662288786,0.3042777061462403,0.0,"{'avg': 0.9164590328600974, 'normalized_product': 0.9063751652308389, 'min': 0.6930545965465421, 'concepts': [{'Wallace': {'avg': 0.9951891941743003, 'normalized_product': 0.9951891941743003, 'min': 0.9951891941743003}}, {'originated in Scotland': {'avg': 0.8086455147724316, 'normalized_product': 0.797886007731706, 'min': 0.6930545965465421}}]}"
['Michael Moriarty'],who was the actor that played ben stone on law and order,"([""['"", 'Michael', ' Mori', 'arty', ' was', ' the', ' actor', ' that', ' played', ' Ben', ' Stone', ' on', ' Law', ' and', ' Order', ""']""], [-0.0026670925, -0.11930441, -0.0005190744, -0.00013667447, -0.5306746, -5.4908094e-05, -1.0921943e-05, -0.34631988, -0.00040004487, -0.0012973773, -2.546479e-05, -0.00062546454, -0.0018589149, -0.0051519237, -2.5345586e-05, -0.005804598], [0.9973364610313008, 0.8875375843197003, 0.9994810602958096, 0.9998633348695298, 0.5882080306683917, 0.9999450934134217, 0.9999890781166442, 0.7072862042057427, 0.9996000351372798, 0.9987034639300923, 0.999974535534225, 0.9993747310221709, 0.9981428118122, 0.994861324697563, 0.9999746547351966, 0.9942122161301513], 'Michael Moriarty was the actor that played Ben Stone on Law and Order')","(None, None, None, ""['Michael Moriarty played Ben Stone on Law and Order']"")","(None, None, None, ""['Michael Moriarty played Ben Stone on Law and Order']"")","(None, None, None, ""['The actor who played Ben Stone on Law and Order was Michael Moriarty']"")","(None, None, None, ""['Michael Moriarty was the actor that played Ben Stone on Law and Order']"")","(None, None, None, ""['Michael Moriarty played Ben Stone on Law and Order']"")",0,0.0005786990281194448,0.38160218000411983,0.0,"{'avg': 0.9409244244827119, 'normalized_product': 0.9306369156007646, 'min': 0.5882080306683917, 'concepts': [{'Michael Moriarty': {'avg': 0.9622939931616799, 'normalized_product': 0.9608021988826994, 'min': 0.8875375843197003}}, {'Ben Stone': {'avg': 0.9993389997321587, 'normalized_product': 0.9993387976456812, 'min': 0.9987034639300923}}, {'Law and Order': {'avg': 0.9976595970816532, 'normalized_product': 0.9976573535605224, 'min': 0.994861324697563}}]}"
"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']",who does the voice of nala in the lion king,"([""['"", 'B', 'ey', 'oncé', ' does', ' the', ' voice', ' of', ' N', 'ala', ' in', ' The', ' Lion', ' King', ""']""], [-0.0011548665, -0.029079938, -1.147242e-06, -0.002297517, -0.11834774, -1.3067608e-05, -3.7697225e-06, -0.00024335073, -0.00022725825, -1.6240566e-06, -1.0445127e-05, -0.07526431, 0.0, -8.061054e-06, -0.014485836], [0.9988458001016798, 0.9713388144809019, 0.9999988527586581, 0.9977051202720703, 0.8883870711749976, 0.9999869324773808, 0.9999962302846054, 0.9997566788773872, 0.9997727675712, 0.9999983759447187, 0.9999895549275502, 0.9274983068508026, 1.0, 0.9999919389784903, 0.985618578935068], 'Beyoncé does the voice of Nala in The Lion King')","(None, None, None, ""['Beyoncé']"")","(None, None, None, ""['Beyoncé does the voice of Nala in The Lion King']"")","(None, None, None, ""['Beyoncé does the voice of Nala in The Lion King']"")","(None, None, None, ""['Beyoncé does the voice of Nala in The Lion King']"")","(None, None, None, ""['Beyoncé does the voice of Nala in the live-action remake of The Lion King']"")",0,0.1307580344611779,0.3806564129889012,0.0,"{'avg': 0.9834169726614435, 'normalized_product': 0.9828035584656596, 'min': 0.8883870711749976, 'concepts': [{'voice of Nala': {'avg': 0.9998810131694778, 'normalized_product': 0.9998810063905262, 'min': 0.9997566788773872}}, {'The Lion King': {'avg': 0.9758300819430975, 'normalized_product': 0.9752213673183242, 'min': 0.9274983068508026}}, {'Beyoncé': {'avg': 0.9896809291705434, 'normalized_product': 0.9895949766281809, 'min': 0.9713388144809019}}]}"
['Max Shippee'],who plays gram on the young and the restless,"([""['"", 'Jud', 'ith', ' Chapman', ' plays', ' Gloria', ' Abbott', ' Bard', 'well', ' on', ' The', ' Young', ' and', ' the', ' Rest', 'less', ""']""], [-0.00084572175, -0.06455326, -0.00031651612, -0.0056671062, -0.0027411582, -0.7160896, -0.15770362, -0.012141094, -6.325235e-05, -0.6158644, -0.032312013, -2.5583993e-05, -3.9054008e-05, -0.0041815676, -4.604148e-06, -2.7014437e-05, -0.008884946], [0.9991546357718442, 0.937486182418301, 0.9996835339659427, 0.9943489215550512, 0.9972625953436698, 0.48865937835720225, 0.8541028834721207, 0.9879323117062406, 0.9999367496503877, 0.5401737672412482, 0.9682044425731813, 0.9999744163342675, 0.9999609467545978, 0.9958271629803866, 0.9999953958625991, 0.9999729859278866, 0.9911544084922849], 'Judith Chapman plays Gloria Abbott Bardwell on The Young and the Restless')","(None, None, None, ""['Judi Evans plays Gram on The Young and the Restless']"")","(None, None, None, ""['Judith Chapman plays Gloria Abbott Bardwell on The Young and the Restless']"")","(None, None, None, ""['Judith Chapman plays Gloria Abbott Bardwell on The Young and the Restless']"")","(None, None, None, ""['Judith Chapman plays gram on The Young and the Restless']"")","(None, None, None, ""['Judith Chapman plays Gloria Abbott Bardwell on The Young and the Restless']"")",0,0.25865165123250333,0.38211051821708675,0.0,"{'avg': 0.917568111609539, 'normalized_product': 0.8981226342326967, 'min': 0.48865937835720225, 'concepts': [{'Judith Chapman': {'avg': 0.9771728793130983, 'normalized_product': 0.976761966179227, 'min': 0.937486182418301}}, {'Gloria Abbott Bardwell': {'avg': 0.8326578307964878, 'normalized_product': 0.8013164096787067, 'min': 0.48865937835720225}}, {'The Young and the Restless': {'avg': 0.993989225072153, 'normalized_product': 0.9939202507304681, 'min': 0.9682044425731813}}]}"
['United States Oath of Allegiance'],what is the oath that new citizens take,"([""['"", 'The', ' oath', ' that', ' new', ' citizens', ' take', ' is', ' called', ' the', ' O', 'ath', ' of', ' Alleg', 'iance', ""']""], [-0.00774729, -0.005702431, -0.29049692, -0.0037678974, -5.5577775e-06, -0.0007588846, -0.0007880675, -0.03555302, -0.34809402, -0.00017493518, -4.167649e-05, 0.0, -1.3306016e-05, -0.00018029935, -9.372295e-06, -0.018915374], [0.9922826429016693, 0.9943137969986546, 0.7478918328154327, 0.9962391922182952, 0.9999944422379444, 0.9992414032800908, 0.9992122429436368, 0.9650715647791457, 0.7060324919188173, 0.9998250801202664, 0.9999583243784529, 1.0, 0.9999866940725246, 0.999819716902951, 0.9999906277489198, 0.9812623990410017], 'The oath that new citizens take is called the Oath of Allegiance')","(None, None, None, ""['The oath that new citizens take is the Oath of Allegiance']"")","(None, None, None, ""['The Oath of Allegiance is the oath that new citizens take']"")","(None, None, None, ""['The Oath of Allegiance is taken by new citizens']"")","(None, None, None, ""['The oath that new citizens take in the United States is called the Oath of Allegiance']"")","(None, None, None, ""['The oath that new citizens take in the US is called the Oath of Allegiance']"")",0,0.0007165274146245793,0.32826821804046635,0.0,"{'avg': 0.957684100743938, 'normalized_product': 0.9522092611079275, 'min': 0.7060324919188173, 'concepts': [{'Oath of Allegiance': {'avg': 0.9999510726205697, 'normalized_product': 0.9999510703668936, 'min': 0.999819716902951}}]}"
['Anakin Skywalker'],who is under the mask of darth vader,"([""['"", 'An', 'akin', ' Skywalker', ' is', ' under', ' the', ' mask', ' of', ' Darth', ' Vader', ""']""], [-0.016302032, -0.08129767, -1.2233183e-05, -1.9816675e-06, -0.17914963, -0.097051926, -6.749814e-06, -4.365741e-06, -1.0683535e-05, -2.220075e-06, -1.4140442e-05, -0.002507167], [0.9838301269957205, 0.9219192229010281, 0.9999877668918251, 0.9999980183344636, 0.8359808022306866, 0.907508881603603, 0.9999932502087799, 0.9999956342685299, 0.9999893165220688, 0.9999977799274644, 0.9999858596579756, 0.9974959733182006], 'Anakin Skywalker is under the mask of Darth Vader')","(None, None, None, ""['Anakin Skywalker is under the mask of Darth Vader']"")","(None, None, None, ""['Anakin Skywalker is under the mask of Darth Vader']"")","(None, None, None, ""['Anakin Skywalker is under the mask of Darth Vader']"")","(None, None, None, ""['Anakin Skywalker is under the mask of Darth Vader']"")","(None, None, None, ""['Anakin Skywalker, a Jedi Knight who turned to the dark side, is under the mask of Darth Vader']"")",1,0.0011077994480729104,0.2983465552330017,0.0,"{'avg': 0.9665356532546425, 'normalized_product': 0.9648765048842615, 'min': 0.8359808022306866, 'concepts': [{'Anakin Skywalker': {'avg': 0.9739683360424389, 'normalized_product': 0.9732600545757756, 'min': 0.9219192229010281}}, {'Darth Vader': {'avg': 0.99999181979272, 'normalized_product': 0.9999918197749582, 'min': 0.9999858596579756}}]}"
"['Sarah', 'Abraham']",who had a baby at 100 in the bible,"([""['"", 'Sarah', ' had', ' a', ' baby', ' at', ' ', '100', ' in', ' the', ' Bible', ""']""], [-0.0031821097, -0.0067069586, -0.4379141, -1.3663626e-05, -5.121278e-05, -9.388769e-05, -0.027390728, -0.0013092867, -0.036040813, -1.6882126e-05, -0.018247696, -0.0050468445], [0.9968229478450947, 0.9933154828475157, 0.6453812187229784, 0.9999863364673469, 0.999948788531352, 0.9999061167173112, 0.9729809963242194, 0.9986915700418837, 0.9646009244222153, 0.9999831180165023, 0.9819177851261566, 0.994965869422315], 'Sarah had a baby at 100 in the Bible')","(None, None, None, ""['Sarah had a baby at 100 in the Bible']"")","(None, None, None, ""['Sarah, the wife of Abraham, had a baby at 100 in the Bible']"")","(None, None, None, ""['Sarah had a baby at 100 in the Bible']"")","(None, None, None, ""['Sarah had a baby at 100 in the Bible']"")","(None, None, None, ""['Sarah had a baby at 100 in the Bible']"")",0,0.0016798702534288168,0.3472645163536072,0.0,"{'avg': 0.9556712337217481, 'normalized_product': 0.948590080244239, 'min': 0.6453812187229784, 'concepts': [{'had a baby': {'avg': 0.8817721145738924, 'normalized_product': 0.8641637591060969, 'min': 0.6453812187229784}}, {'at 100': {'avg': 0.9905262276944714, 'normalized_product': 0.9904479460169369, 'min': 0.9729809963242194}}, {'in the Bible': {'avg': 0.9821672758549581, 'normalized_product': 0.9820610563591559, 'min': 0.9646009244222153}}]}"
['18'],what age do you need to be to buy a bb gun,"([""['"", 'You', ' need', ' to', ' be', ' at', ' least', ' ', '18', ' years', ' old', ' to', ' buy', ' a', ' BB', ' gun', ""']""], [-0.0011853497, -0.3566338, -0.01371432, -1.1994775e-05, -1.27099975e-05, -0.37538293, -1.92662e-05, -2.486877e-05, -0.00028958343, -7.3458323e-06, -0.00082451454, -0.0012322536, -0.0017301602, -3.2929079e-06, -0.04700816, -2.6895234e-05, -0.0169778], [0.9988153525494579, 0.7000288013496091, 0.9863792928523593, 0.999988005296937, 0.9999872900832717, 0.6870261454914773, 0.9999807339855921, 0.9999751315392253, 0.9997104584952344, 0.9999926541946805, 0.9991758252787117, 0.998768505312711, 0.9982713356643395, 0.9999967070975216, 0.954079612268971, 0.9999731051276736, 0.9831655106669765], 'You need to be at least 18 years old to buy a BB gun')","(None, None, None, ""['You need to be at least 18 years old to buy a BB gun']"")","(None, None, None, ""['You need to be at least 18 years old to buy a BB gun']"")","(None, None, None, ""['The age you need to be to buy a BB gun varies by state, but generally ranges from 18 to 21 years old']"")","(None, None, None, ""['You need to be at least 18 years old to buy a BB gun']"")","(None, None, None, ""['The age you need to be to buy a BB gun varies, typically it is 18 years old in the United States']"")",0,0.0014193439274094999,0.43192732334136963,1.0,"{'avg': 0.9516675427672414, 'normalized_product': 0.944667608829289, 'min': 0.6870261454914773, 'concepts': [{'18 years old': {'avg': 0.9996263126562089, 'normalized_product': 0.999626255259206, 'min': 0.9991758252787117}}, {'BB gun': {'avg': 0.9770263586983223, 'normalized_product': 0.9767568542987604, 'min': 0.954079612268971}}]}"
['23 November 1996'],ethiopia flight 961 crashes in to the sea,"([""['"", 'Eth', 'i', 'opia', ' Flight', ' ', '961', ' crashed', ' into', ' the', ' sea', ' off', ' the', ' coast', ' of', ' Com', 'or', 'os', ' in', ' ', '199', '6', ""']""], [-0.009781115, -0.06064794, -1.1994775e-05, -0.28324968, -0.50954026, -1.3544423e-05, -4.3202e-07, -0.044544917, -0.001800008, -4.3822154e-05, -0.24793355, -0.9471724, -0.01720186, -0.65401113, -0.00012797261, -0.050894327, -2.2842309e-05, -2.3392786e-06, -0.9185881, -0.08677661, -0.00031067515, -0.00012797261, -0.3433633], [0.9902665645257209, 0.9411545243184015, 0.999988005296937, 0.7533316725243802, 0.6007717141200286, 0.9999864556687252, 0.9999995679800934, 0.9564326390439394, 0.9982016110428243, 0.9999561788061766, 0.780411799919183, 0.38783611989012456, 0.9829452472796854, 0.519955977315029, 0.9998720355781452, 0.9503790946363428, 0.9999771579518836, 0.9999976607241361, 0.3990821075218352, 0.9168818950037598, 0.9996893731045271, 0.9998720355781452, 0.7093804468237483], 'Ethiopia Flight 961 crashed into the sea off the coast of Comoros in 1996')","(None, None, None, ""['Ethiopian Airlines Flight 961 crashed into the Indian Ocean off the coast of Comoros']"")","(None, None, None, ""['Ethiopian Airlines Flight 961 crashed into the Indian Ocean off the coast of Comoros after being hijacked in 1996']"")","(None, None, None, ""['Ethiopian Airlines Flight 961 crashed into the sea on November 23, 1996']"")","(None, None, None, ""['Ethiopia Flight 961 crashed into the sea in 1996 after being hijacked']"")","(None, None, None, ""['Ethiopia Flight 961 crashed into the sea off the Comoros Islands']"")",0,0.22850227749440818,0.4249943375587464,0.0,"{'avg': 0.8519358020436528, 'normalized_product': 0.8177417634894556, 'min': 0.38783611989012456, 'concepts': [{'Flight 961': {'avg': 0.866919245922949, 'normalized_product': 0.8437901842533957, 'min': 0.6007717141200286}}, {'crashed into the sea': {'avg': 0.9337505572030308, 'normalized_product': 0.9290612843236479, 'min': 0.780411799919183}}, {'off the coast of Comoros': {'avg': 0.8344233276250497, 'normalized_product': 0.7878162432439041, 'min': 0.38783611989012456}}, {'in 1996': {'avg': 0.8288813528020668, 'normalized_product': 0.7776716874457107, 'min': 0.3990821075218352}}]}"
"['Vancouver', 'Mission, British Columbia']",where was percy jackson and the olympians filmed,"([""['"", '""', 'P', 'erc', 'y', ' Jackson', ' and', ' the', ' Olymp', 'ians', '""', ' was', ' filmed', ' in', ' various', ' locations', ' including', ' Vancouver', ',', ' British', ' Columbia', ',', ' Canada', ""']""], [-0.0011252142, -0.5269317, -7.564953e-05, -2.2961513e-05, -1.3856493e-06, -2.4391957e-05, -0.3493819, -0.0014966491, 0.0, -2.5703197e-05, -0.18438764, -0.0050986763, -0.3529021, -0.12946469, -0.2530081, -3.464347e-05, -0.6381427, -0.16465423, -0.010047052, -0.07201879, -1.9385403e-05, -0.090695985, -0.33668604, -0.08797392], [0.9988754186161245, 0.5904137598431849, 0.9999243533313535, 0.9999770387506135, 0.99999861435166, 0.9999756083404814, 0.7051237920669077, 0.9985044703207346, 1.0, 0.9999742971333243, 0.8316133747289216, 0.9949142998868468, 0.702645979051477, 0.8785656100202466, 0.776461592459367, 0.9999653571300781, 0.5282726742898292, 0.8481869309855891, 0.9900032510203044, 0.9305134112999409, 0.9999806147848957, 0.9132953241758067, 0.7141330139110904, 0.9157847600784281], 'Percy Jackson and the Olympians was filmed in various locations including Vancouver, British Columbia, Canada')","(None, None, None, '[\'The movie ""Percy Jackson and the Olympians"" was filmed primarily in Vancouver, British Columbia, Canada.\']')","(None, None, None, ""['Percy Jackson and the Olympians was filmed in locations such as Vancouver, British Columbia, Canada and various sites in the United States']"")","(None, None, None, ""['Percy Jackson and the Olympians was filmed in various locations, including British Columbia, Vancouver Island, and New York City']"")","(None, None, None, ""['Percy Jackson and the Olympians was filmed in Vancouver, British Columbia, Canada']"")","(None, None, None, '[\'""Percy Jackson and the Olympians"" was primarily filmed in Vancouver, British Columbia, Canada\']')",0,0.04976168253342621,0.41824392080307005,0.0,"{'avg': 0.8911013178509583, 'normalized_product': 0.8790556426729134, 'min': 0.5282726742898292, 'concepts': [{'locations': {'avg': 0.9999653571300781, 'normalized_product': 0.9999653571300781, 'min': 0.9999653571300781}}, {'Vancouver': {'avg': 0.9190950910029467, 'normalized_product': 0.9163557274053934, 'min': 0.8481869309855891}}, {'British Columbia': {'avg': 0.9479297834202144, 'normalized_product': 0.9472002791569899, 'min': 0.9132953241758067}}, {'Canada': {'avg': 0.7141330139110904, 'normalized_product': 0.7141330139110904, 'min': 0.7141330139110904}}]}"
"['eight', '8']",how many seasons of vampire diaries r there,"([""['"", 'There', ' are', ' ', '8', ' seasons', ' of', ' The', ' Vampire', ' Di', 'aries', ""']""], [-0.0007585271, -0.013879752, -5.7768983e-05, -0.2618661, -2.129266e-05, -9.3410876e-05, -0.00021533787, -0.80124724, -5.5577775e-06, -9.133887e-06, -1.7432603e-06, -0.05980696], [0.9992417605089564, 0.986216127649929, 0.9999422326855956, 0.7696140681323206, 0.999978707566687, 0.99990659348666, 0.999784685313535, 0.4487688924045418, 0.9999944422379444, 0.9999908661547138, 0.9999982567412194, 0.9419463493581057], 'There are 8 seasons of The Vampire Diaries')","(None, None, None, ""['There are a total of 8 seasons of the Vampire Diaries']"")","(None, None, None, ""['There are 8 seasons of Vampire Diaries']"")","(None, None, None, ""['There are eight seasons of Vampire Diaries']"")","(None, None, None, ""['There are a total of 8 seasons of The Vampire Diaries']"")","(None, None, None, ""['There are eight seasons of The Vampire Diaries']"")",0,0.0008060148393269628,0.33653150796890263,0.0,"{'avg': 0.9204194872373147, 'normalized_product': 0.897861249020193, 'min': 0.4487688924045418, 'concepts': [{'8 seasons': {'avg': 0.9999426505266735, 'normalized_product': 0.9999426498765812, 'min': 0.99990659348666}}, {'The Vampire Diaries': {'avg': 0.8621881143846049, 'normalized_product': 0.8184721415495388, 'min': 0.4487688924045418}}]}"
"['291 episodes', '291']",how many episodes are there in dragon ball z,"([""['"", 'There', ' are', ' a', ' total', ' of', ' ', '291', ' episodes', ' in', ' Dragon', ' Ball', ' Z', ""']""], [-0.0008482214, -0.1917071, -2.8325678e-05, -0.43665257, -1.9361265e-07, -1.1041146e-05, -5.5577775e-06, -4.3202e-07, -1.27099975e-05, -1.4855664e-05, -0.0004156569, -1.2352386e-05, -1.9361265e-07, -0.011892805], [0.9991521382380802, 0.8255486362786275, 0.9999716747231683, 0.6461959002563871, 0.9999998063873687, 0.9999889589149532, 0.9999944422379444, 0.9999995679800934, 0.9999872900832717, 0.9999851444463448, 0.9995844294733616, 0.9999876476902904, 0.9999998063873687, 0.988177634886245], 'There are a total of 291 episodes in Dragon Ball Z')","(None, None, None, ""['There are a total of 291 episodes in Dragon Ball Z']"")","(None, None, None, ""['There are a total of 291 episodes in Dragon Ball Z']"")","(None, None, None, ""['There are a total of 291 episodes in Dragon Ball Z']"")","(None, None, None, ""['There are a total of 291 episodes in Dragon Ball Z']"")","(None, None, None, ""['There are a total of 291 episodes in Dragon Ball Z']"")",0,0.0025382793974131346,0.21034717559814453,0.0,"{'avg': 0.9559369420715983, 'normalized_product': 0.9489443883055723, 'min': 0.6461959002563871, 'concepts': [{'291 episodes': {'avg': 0.9999934290316825, 'normalized_product': 0.999993429012839, 'min': 0.9999872900832717}}, {'Dragon Ball Z': {'avg': 0.9998572945170069, 'normalized_product': 0.9998572758865054, 'min': 0.9995844294733616}}]}"
['Jacob Tremblay'],who plays auggie in the movie the wonder,"([""['"", 'Jacob', ' Trem', 'bl', 'ay', ' plays', ' A', 'ugg', 'ie', ' in', ' the', ' movie', ' ""', 'Wonder', '""', ""']""], [-0.003916088, -0.0025692373, -1.7597347e-05, -6.392203e-06, -2.4584822e-06, -0.0010742537, -0.0022458923, 0.0, -4.604148e-06, -0.000995295, -6.9331734e-05, -1.569009e-05, -0.3550914, -0.0061390037, -0.0006689519, -6.46828e-05], [0.9960915698730489, 0.9974340603653856, 0.9999824028078323, 0.9999936078174301, 0.9999975415208221, 0.9989263231039429, 0.9977566278291123, 1.0, 0.9999953958625991, 0.9990052001417842, 0.9999306706693891, 0.9999843100330889, 0.7011093588845614, 0.9938798014818421, 0.9993312717984383, 0.9999353192918872], 'Jacob Tremblay plays Auggie in the movie Wonder')","(None, None, None, '[\'Jacob Tremblay plays Auggie in the movie ""Wonder""\']')","(None, None, None, '[\'Jacob Tremblay plays Auggie in the movie ""Wonder""\']')","(None, None, None, ""['Jacob Tremblay plays Auggie in the movie Wonder']"")","(None, None, None, '[\'Jacob Tremblay plays Auggie in the movie ""Wonder""\']')","(None, None, None, '[\'Jacob Tremblay plays Auggie in the movie ""Wonder""\']')",0,0.0006218467839062214,0.4327754616737366,0.0,"{'avg': 0.9776661837368735, 'normalized_product': 0.9739941244914446, 'min': 0.7011093588845614, 'concepts': [{'Wonder': {'avg': 0.9966055366401402, 'normalized_product': 0.9966018091643365, 'min': 0.9938798014818421}}, {'Jacob Tremblay': {'avg': 0.9993519031278675, 'normalized_product': 0.9993512891708622, 'min': 0.9974340603653856}}, {'Auggie': {'avg': 0.9992506745639038, 'normalized_product': 0.9992501158211132, 'min': 0.9977566278291123}}]}"
"['Sir Edmund Barton', '1901']",when was the first australian prime minister elected,"([""['"", 'The', ' first', ' Australian', ' Prime', ' Minister', ',', ' Edmund', ' Barton', ',', ' was', ' elected', ' in', ' ', '190', '1', ""']""], [-0.0029473936, -0.42443582, -2.6060809e-05, -9.4960524e-05, -0.0708183, -0.00010163593, -0.23870924, -0.09194898, -1.1637165e-05, -0.000442232, -3.8219583e-05, -0.00015407454, -0.3531651, -0.029397037, -1.378283e-05, -2.2007884e-05, -0.03567427], [0.9970569457002612, 0.6541387330339498, 0.9999739395305799, 0.9999050439846079, 0.931631154130379, 0.9998983692347562, 0.7876438644116822, 0.9121516863369636, 0.9999883629027115, 0.999557865770158, 0.999961781147359, 0.9998459373288724, 0.7024612074575161, 0.9710308527439288, 0.9999862172649827, 0.9999779923581718, 0.9649545569456595], 'The first Australian Prime Minister, Edmund Barton, was elected in 1901')","(None, None, None, ""['The first Australian Prime Minister, Edmund Barton, was elected in 1901']"")","(None, None, None, ""['Edmund Barton was elected as the first Australian Prime Minister in 1901']"")","(None, None, None, ""['The first Australian Prime Minister, Edmund Barton, was elected on January 1, 1901']"")","(None, None, None, ""['Edmund Barton was elected as the first Australian Prime Minister in 1901']"")","(None, None, None, ""['The first Australian Prime Minister, Edmund Barton, was elected on January 1, 1901']"")",0,0.000515373912639916,0.2531418323516845,0.0,"{'avg': 0.9407506530874955, 'normalized_product': 0.9330154109962344, 'min': 0.6541387330339498, 'concepts': [{'Australian Prime Minister': {'avg': 0.9297696079403563, 'normalized_product': 0.9254908494926173, 'min': 0.7876438644116822}}, {'Edmund Barton': {'avg': 0.9705659716699445, 'normalized_product': 0.9696685666657607, 'min': 0.9121516863369636}}, {'elected in 1901': {'avg': 0.9346604414306944, 'normalized_product': 0.9263062268608856, 'min': 0.7024612074575161}}]}"
