answer,prompt,llm_answer,llm_answer__1,llm_answer__2,llm_answer__3,llm_answer__4,llm_answer__5,fleek_score,selfcheck_nli_score,selfcheck_bert_score,lm_v_lm_score,lbhd_score,ground_truth
"['eight', '8']",how many seasons of vampire diaries r there,"(["" ['"", 'There', ' are', ' ', '8', ' seasons', ' of', ' The', ' V', 'amp', 'ire', ' Di', 'aries', ""']"", '</s>'], array([ 0.        , -0.70578468, -0.69910437, -0.96132666, -0.69314825,
       -0.69314956, -0.69418054, -1.22021732, -0.69314754, -0.69314718,
       -0.69314933, -0.69314837, -0.69314742, -0.70642618, -0.69400633]), [1.0, 0.4937210085, 0.4970302582, 0.382385255, 0.4999994635582, 0.4999988079071, 0.49948358535, 0.295166015, 0.499999821186065, 0.5, 0.4999989271164, 0.49999940395355, 0.49999988079071, 0.4934043885, 0.49957060815], 'There are 8 seasons of The Vampire Diaries')","(None, None, None, "" ['There are 8 seasons of The Vampire Diaries']"")","(None, None, None, "" ['There are 8 seasons of Vampire Diaries']"")","(None, None, None, "" ['There are 8 seasons of The Vampire Diaries']"")","(None, None, None, "" ['There are 8 seasons of The Vampire Diaries']"")","(None, None, None, "" ['There are 8 seasons of The Vampire Diaries']"")",0,0.0012063488538842648,0.3022405505180359,1.0,"{'avg': 0.47231520221350215, 'normalized_product': 0.4671736405700687, 'min': 0.295166015, 'concepts': [{'The': {'avg': 0.295166015, 'normalized_product': 0.295166015, 'min': 0.295166015}}, {'Vampire Diaries': {'avg': 0.499999606609345, 'normalized_product': 0.49999960660918924, 'min': 0.4999989271164}}]}",0.0
"['291 episodes', '291']",how many episodes are there in dragon ball z,"(["" ['"", 'There', ' are', ' ', '2', '9', '1', ' episodes', ' in', ' Dragon', ' Ball', ' Z', ""']"", '</s>'], array([ 0.        , -0.75892345, -0.69322992, -0.69743646, -0.69314718,
       -0.69319665, -0.6931808 , -0.69359145, -0.69316387, -0.71520883,
       -0.69395766, -0.69314742, -0.72436049, -0.69828349]), [1.0, 0.46817016499999997, 0.499958634375, 0.49785995485, 0.5, 0.4999752640725, 0.49998319149, 0.4997779131, 0.49999165535, 0.489089966, 0.499594926835, 0.49999988079071, 0.4846343995, 0.4974384308], 'There are 291 episodes in Dragon Ball Z')","(None, None, None, "" ['There are 291 episodes in Dragon Ball Z']"")","(None, None, None, "" ['There are 291 episodes in Dragon Ball Z']"")","(None, None, None, "" ['There are 291 episodes in Dragon Ball Z']"")","(None, None, None, "" ['There are 291 episodes in Dragon Ball Z']"")","(None, None, None, "" ['Dragon Ball Z has 291 episodes in total']"")",0,0.001403780427062884,0.2866884350776673,0.0,"{'avg': 0.4958546865330191, 'normalized_product': 0.4957650958313473, 'min': 0.46817016499999997, 'concepts': [{'291 episodes': {'avg': 0.49993409216562495, 'normalized_product': 0.4999340839530272, 'min': 0.4997779131}}, {'Dragon Ball Z': {'avg': 0.49622825787523667, 'normalized_product': 0.49620243503794004, 'min': 0.489089966}}]}",0.0
['Jacob Tremblay'],who plays auggie in the movie the wonder,"(["" ['"", 'J', 'ac', 'ob', ' T', 'rem', 'bl', 'ay', ' plays', ' Aug', 'gie', ' in', ' the', ' movie', ' Wonder', ""']"", '</s>'], array([-2.44179809e-04, -6.94224459e-01, -6.94555795e-01, -6.93153856e-01,
       -6.93153260e-01, -6.93147300e-01, -6.93177103e-01, -6.93147181e-01,
       -7.20636440e-01, -6.95958747e-01, -6.93147181e-01, -6.93360111e-01,
       -6.93871281e-01, -6.93458365e-01, -7.70989962e-01, -6.93626517e-01,
       -6.94317069e-01]), [0.99975585, 0.49946165085, 0.49929618835, 0.49999666214, 0.4999969601631, 0.499999940395355, 0.499985039234, 0.5, 0.486442566, 0.4985961914, 0.5, 0.499893546105, 0.4996380806, 0.499844431875, 0.46255493000000003, 0.49976038933, 0.49941539765], 'Jacob Tremblay plays Auggie in the movie Wonder')","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie Wonder']"")","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie Wonder']"")","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie The Wonder']"")","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie Wonder']"")","(None, None, None, "" ['Jacob Tremblay plays Auggie in the movie Wonder']"")",0,0.0014476353302598,0.3778587102890014,0.0,"{'avg': 0.49612187050803247, 'normalized_product': 0.496018773659913, 'min': 0.46255493000000003, 'concepts': [{'Jacob Tremblay': {'avg': 0.4998194915903508, 'normalized_product': 0.4998194119119204, 'min': 0.49929618835}}, {'plays': {'avg': 0.486442566, 'normalized_product': 0.486442566, 'min': 0.486442566}}, {'Auggie': {'avg': 0.4992980957, 'normalized_product': 0.49929760233752374, 'min': 0.4985961914}}, {'in the movie Wonder': {'avg': 0.490482747145, 'normalized_product': 0.49021072475452004, 'min': 0.46255493000000003}}]}",0.0
"['Sir Edmund Barton', '1901']",when was the first australian prime minister elected,"(["" ['"", 'The', ' first', ' Australian', ' Prime', ' Minister', ',', ' Ed', 'mund', ' Bart', 'on', ',', ' was', ' elected', ' in', ' ', '1', '9', '0', '1', ""']"", '</s>'], array([-4.88399247e-04, -1.83465881e+00, -6.96299268e-01, -1.24831732e+00,
       -7.18975311e-01, -6.93688537e-01, -1.65975510e+00, -7.74890144e-01,
       -6.93154572e-01, -6.93151114e-01, -6.93147181e-01, -6.96316489e-01,
       -7.09717428e-01, -6.93492709e-01, -8.50680851e-01, -7.01544153e-01,
       -6.93147181e-01, -6.93213344e-01, -6.93148730e-01, -6.93211913e-01,
       -7.17160626e-01, -6.96373893e-01]), [0.99951172, 0.15966797, 0.4984264374, 0.2869873, 0.4872512815, 0.4997293949, 0.19018554999999998, 0.460754395, 0.499996304512, 0.4999980330467, 0.5, 0.4984178543, 0.491783142, 0.49982726574, 0.427124025, 0.495819092, 0.5, 0.499966919422, 0.4999992251396, 0.499967634678, 0.4881362915, 0.4983892441], 'The first Australian Prime Minister, Edmund Barton, was elected in 1901')","(None, None, None, "" ['The first Australian Prime Minister, Edmund Barton, was elected in 1901']"")","(None, None, None, "" ['Edmund Barton was the first Australian Prime Minister, elected in 1901']"")","(None, None, None, "" ['The first Australian Prime Minister, Edmund Barton, was elected in 1901']"")","(None, None, None, "" ['The first Prime Minister of Australia, Edmund Barton, was elected in 1901']"")","(None, None, None, "" ['Sir Edmund Barton was elected as the first Prime Minister of Australia in 1901']"")",0,0.0007566409651190043,0.25244942903518675,0.0,"{'avg': 0.45915978086107645, 'normalized_product': 0.4446590272014894, 'min': 0.15966797, 'concepts': [{'The first Australian Prime Minister': {'avg': 0.3537079889666666, 'normalized_product': 0.3191962833283437, 'min': 0.15966797}}, {'Edmund Barton': {'avg': 0.49183331737174, 'normalized_product': 0.49157935394690244, 'min': 0.460754395}}, {'was elected in 1901': {'avg': 0.48778390056851434, 'normalized_product': 0.4870994251577124, 'min': 0.427124025}}]}",0.0
['R. H. Thomson'],who plays matthew on anne with an e,"(["" ['"", 'A', 'y', 'mer', 'ic', ' J', 'ett', ' Mont', 'az', ' plays', ' Matthew', ' on', ' Anne', ' with', ' an', ' E', ""']"", '</s>'], array([-2.44179809e-04, -2.65828408e+00, -6.99492035e-01, -6.93159340e-01,
       -6.93147300e-01, -6.93165658e-01, -6.93150638e-01, -6.93227531e-01,
       -7.49064120e-01, -7.35218632e-01, -9.27739077e-01, -6.95736896e-01,
       -7.31787008e-01, -7.19883888e-01, -6.93162678e-01, -6.93319214e-01,
       -7.10788449e-01, -7.15052847e-01]), [0.99975585, 0.07006835, 0.496837616, 0.49999392032625, 0.499999940395355, 0.49999076128, 0.4999982714653, 0.49995982647, 0.472808838, 0.479400635, 0.39544677500000003, 0.49870681765, 0.481048584, 0.486808777, 0.499992251396, 0.4999139905, 0.491256714, 0.48916626], 'Aymeric Jett Montaz plays Matthew on Anne with an E')","(None, None, None, "" ['Gerald Lenton-Young plays Matthew on Anne With an E, a CBC television show adaptation of the novel of the same name; Lucas Jade Zumann plays the character in the 2017 film version']"")","(None, None, None, "" ['Gerren Hall plays Matthew on Anne with an E']"")","(None, None, None, "" ['Lucas Jade Zumann plays Matthew on Anne with an E']"")","(None, None, None, "" ['Geraint Wyn Davies plays Matthew on Anne with an E']"")","(None, None, None, "" ['Matthew Crawley is played by Dan Stevens in Downton Abbey']"")",0,0.9977636933326721,0.8234760880470275,0.0,"{'avg': 0.4587316902988603, 'normalized_product': 0.4268585693410831, 'min': 0.07006835, 'concepts': [{'Aymeric Jett Montaz': {'avg': 0.44245719049211313, 'normalized_product': 0.38806348242412003, 'min': 0.07006835}}, {'plays': {'avg': 0.479400635, 'normalized_product': 0.479400635, 'min': 0.479400635}}, {'Matthew': {'avg': 0.39544677500000003, 'normalized_product': 0.39544677500000003, 'min': 0.39544677500000003}}, {'on Anne with an E': {'avg': 0.4932940841092, 'normalized_product': 0.4932308609586032, 'min': 0.481048584}}]}",1.0
['Lisa Stelly'],who is the girl in green day 21 guns,"(["" ['"", 'Christ', 'ian', ' Z', 'uc', 'con', 'i', ' plays', ' the', ' girl', ' in', ' Green', ' Day', ""'"", 's', ' ""', '2', '1', ' G', 'uns', '""', ' music', ' video', ""']"", '</s>'], array([-0.00710526, -1.51426092, -1.24789204, -1.32843089, -0.69630884,
       -0.6940512 , -0.69314718, -3.51374533, -0.69317746, -2.73426995,
       -0.70569969, -0.79685433, -0.69337215, -0.98441641, -0.69315004,
       -2.60733913, -0.6935044 , -0.69314718, -0.6931963 , -0.69314766,
       -0.69472007, -0.76671068, -0.69319975, -0.712825  , -0.6940889 ]), [0.9929199200000001, 0.21997070000000002, 0.287109375, 0.26489258, 0.498421669, 0.4995481968, 0.5, 0.029785149999999982, 0.49998486042, 0.06494139999999998, 0.49376297, 0.45074463, 0.499887526035, 0.373657225, 0.4999985694885, 0.07373046999999999, 0.499821424485, 0.5, 0.4999754428865, 0.49999976158142, 0.49921417235, 0.464538575, 0.4999737143515, 0.490257263, 0.499529361725], ""Christian Zucconi plays the girl in Green Day's 21 Guns music video"")","(None, None, None, "" ['Christian Zucconi plays the girl in Green Day's music video for 21 Guns']"")","(None, None, None, "" ['Christian Zucconi sings as the girl in Green Day’s song, 21 Guns']"")","(None, None, None, "" ['Christina Ricci is the girl in Green Day's 21 Guns music video']"")","(None, None, None, "" ['Christian Zucconi is the girl in Green Day's 21 Guns']"")","(None, None, None, "" ['Christian Zucconi plays the girl in Green Day's 21 Guns music video. The protagonist is referred to as the girl, but this is not her real name.']"")",1,0.37000864394940436,0.38001457452774046,1.0,"{'avg': 0.39636174601808727, 'normalized_product': 0.3280085749598192, 'min': 0.029785149999999982, 'concepts': [{'Christian Zucconi': {'avg': 0.37832375346666663, 'normalized_product': 0.35735872214483977, 'min': 0.21997070000000002}}, {'plays': {'avg': 0.029785149999999982, 'normalized_product': 0.029785149999999986, 'min': 0.029785149999999982}}, {'the girl': {'avg': 0.28246313021, 'normalized_product': 0.18019355375395477, 'min': 0.06494139999999998}}, {'in': {'avg': 0.49376297, 'normalized_product': 0.49376297, 'min': 0.49376297}}, {""Green Day's "": {'avg': 0.3796036841047, 'normalized_product': 0.31504921503722016, 'min': 0.07373046999999999}}, {'21 Guns': {'avg': 0.49980216026058394, 'normalized_product': 0.49980206931291865, 'min': 0.49921417235}}, {'music video': {'avg': 0.48225614467575, 'normalized_product': 0.4819305725955792, 'min': 0.464538575}}]}",1.0
['Ledger'],who plays joker in batman the dark knight,"(["" ['"", 'He', 'ath', ' Led', 'ger', ' plays', ' the', ' J', 'oker', ' in', ' Bat', 'man', ':', ' The', ' Dark', ' Knight', ""']"", '</s>'], array([ 0.        , -0.69682367, -0.69314718, -0.69314837, -0.69314718,
       -0.98474317, -1.79273655, -0.71139432, -0.69314813, -0.69755523,
       -0.71200055, -0.69314718, -1.12033081, -0.69362532, -0.69315052,
       -0.693272  , -0.69370571, -0.69678921]), [1.0, 0.4981651306, 0.5, 0.49999940395355, 0.5, 0.37353515000000004, 0.16650389999999998, 0.4909591675, 0.49999952316285, 0.497800827, 0.490661621, 0.5, 0.326171875, 0.499760985375, 0.49999833107, 0.499937593935, 0.49972081185, 0.49818229675], 'Heath Ledger plays the Joker in Batman: The Dark Knight')","(None, None, None, "" ['Heath Ledger plays Joker in Batman The Dark Knight']"")","(None, None, None, "" ['Heath Ledger plays Joker in Batman: The Dark Knight']"")","(None, None, None, "" ['Heath Ledger played the Joker in Batman: The Dark Knight']"")","(None, None, None, "" ['Heath Ledger plays Joker in Batman The Dark Knight']"")","(None, None, None, "" ['Heath Ledger plays the Joker in Batman: The Dark Knight']"")",0,0.0007791378942783922,0.3207566022872925,0.0,"{'avg': 0.4562329005730933, 'normalized_product': 0.4415673691807044, 'min': 0.16650389999999998, 'concepts': [{'Heath Ledger': {'avg': 0.4995411336383875, 'normalized_product': 0.49954050115564097, 'min': 0.4981651306}}, {'plays': {'avg': 0.37353515000000004, 'normalized_product': 0.37353515000000004, 'min': 0.37353515000000004}}, {'the Joker': {'avg': 0.3858208635542833, 'normalized_product': 0.3444660762724364, 'min': 0.16650389999999998}}, {'in': {'avg': 0.497800827, 'normalized_product': 0.497800827, 'min': 0.497800827}}, {'Batman: The Dark Knight': {'avg': 0.4694217343966667, 'normalized_product': 0.46413132846617516, 'min': 0.326171875}}]}",0.0
"['December 1985', '8 December 1985']",when was the south asian association for regional co-operation (saarc) formed,"(["" ['"", 'The', ' South', ' Asian', ' Association', ' for', ' Regional', ' Co', 'operation', ' (', 'SA', 'AR', 'C', ')', ' was', ' formed', ' on', ' December', ' ', '8', ',', ' ', '1', '9', '8', '5', ""']"", '</s>'], array([ 0.        , -1.12445608, -0.69315433, -0.69317734, -0.69314778,
       -0.69316017, -0.69314861, -0.69317579, -0.7552148 , -0.73340603,
       -0.69316435, -0.69314718, -0.69314718, -0.69315004, -0.69315541,
       -0.69318628, -0.82264098, -0.73598282, -0.69314897, -0.69322682,
       -0.69745561, -0.69357857, -0.69314718, -0.69314718, -0.69314718,
       -0.69316053, -0.78367147, -0.69597405]), [1.0, 0.3248291, 0.4999964237213, 0.499984920025, 0.499999701976775, 0.4999935030935, 0.49999928474425, 0.499985694885, 0.469909668, 0.480270385, 0.499991416931, 0.5, 0.5, 0.4999985694885, 0.4999958872795, 0.4999804496765, 0.43927002, 0.479034424, 0.49999910593035, 0.4999601840975, 0.497850418, 0.4997843504, 0.5, 0.5, 0.5, 0.49999332428, 0.456726075, 0.498588562], 'The South Asian Association for Regional Cooperation (SAARC) was formed on December 8, 1985')","(None, None, None, "" ['The South Asian Association for Regional Cooperation (SAARC) was formed on December 8, 1985']"")","(None, None, None, "" ['SAARC was formed on December 8, 1985']"")","(None, None, None, "" ['SAARC was formed on December 8, 1985']"")","(None, None, None, "" ['The South Asian Association for Regional Cooperation (SAARC) was formed on December 8, 1985']"")","(None, None, None, "" ['The South Asian Association for Regional Cooperation (SAARC) was formed on December 8, 1985']"")",0,0.006637377431616187,0.29366420507431035,0.0,"{'avg': 0.4865594583261446, 'normalized_product': 0.4847827580550193, 'min': 0.3248291, 'concepts': [{'South Asian Association for Regional Cooperation (SAARC)': {'avg': 0.4958441306554437, 'normalized_product': 0.4957503524744353, 'min': 0.469909668}}, {'December 8': {'avg': 0.49415734412437506, 'normalized_product': 0.49407845695449537, 'min': 0.479034424}}, {'1985': {'avg': 0.49999833107, 'normalized_product': 0.499998331061644, 'min': 0.49999332428}}]}",0.0
"['September 14, 2008', '2008']",when was the first hunger games book published,"(["" ['"", 'The', ' first', ' Hung', 'er', ' Games', ' book', ' was', ' published', ' on', ' September', ' ', '1', '4', ',', ' ', '2', '0', '0', '8', ""']"", '</s>'], array([ 0.        , -0.73102602, -0.69414809, -0.71229603, -0.69314742,
       -0.69317162, -0.69315171, -0.70164418, -0.69315004, -0.87982392,
       -0.69331981, -0.69315386, -0.69319403, -0.69317579, -0.69519013,
       -0.69314897, -0.6931473 , -0.69314718, -0.69315922, -0.69314802,
       -0.73223118, -0.69579809]), [1.0, 0.481414795, 0.4994997978, 0.4905166625, 0.49999988079071, 0.499987781048, 0.4999977350235, 0.4957695005, 0.4999985694885, 0.414855955, 0.499913692475, 0.49999666214, 0.499976575375, 0.499985694885, 0.4989795685, 0.49999910593035, 0.499999940395355, 0.5, 0.499993979931, 0.4999995827675, 0.480834961, 0.4986763], 'The first Hunger Games book was published on September 14, 2008')","(None, None, None, "" ['The first Hunger Games book was published on September 14, 2008']"")","(None, None, None, "" ['The first Hunger Games book was published on September 14, 2008']"")","(None, None, None, "" ['The first Hunger Games book was published on September 14, 2008']"")","(None, None, None, "" ['The first Hunger Games book was published in 2008']"")","(None, None, None, "" ['The first Hunger Games book was published on September 14, 2008']"")",0,0.13989573642611502,0.23823869228363037,0.0,"{'avg': 0.49299345984764215, 'normalized_product': 0.49254031791928266, 'min': 0.414855955, 'concepts': [{'The first Hunger Games book': {'avg': 0.4952361086937016, 'normalized_product': 0.4951851822501628, 'min': 0.481414795}}, {'September 14': {'avg': 0.49977092743307006, 'normalized_product': 0.4997707698149387, 'min': 0.4989795685}}, {'2008': {'avg': 0.4999978343646183, 'normalized_product': 0.49999783435716866, 'min': 0.499993979931}}]}",0.0
['Mary Rose Foster'],who did bette midler portray in the rose,"(["" ['"", 'B', 'ette', ' Mid', 'ler', ' port', 'rayed', ' D', 'uss', 'eld', 'orf', ' Dr', 'isc', 'oll', ' in', ' The', ' Rose', ""']"", '</s>'], array([-0.0039139 , -0.69708789, -0.6931473 , -0.69316053, -0.69314813,
       -0.70588513, -0.69319975, -1.053036  , -1.79420386, -1.95301543,
       -0.70346944, -2.04866988, -1.98094046, -0.6947258 , -0.84271042,
       -0.80024532, -0.69335498, -0.9551209 , -0.69422637]), [0.99609375, 0.4980335235, 0.499999940395355, 0.49999332428, 0.49999952316285, 0.49367141725, 0.4999737143515, 0.34887694999999996, 0.166259765, 0.14184570000000002, 0.4948654175, 0.12890625, 0.13793945000000002, 0.49921131135, 0.43054199, 0.44921875, 0.499896109105, 0.384765625, 0.49946069715], 'Bette Midler portrayed Dusseldorf Driscoll in The Rose')","(None, None, None, "" ['Bette Midler portrayed Thelma Dickinson in The Rose']"")","(None, None, None, ' [\'Bette Midler portrayed Dussault, the owner of the house featured in the movie ""The Rose""]')","(None, None, None, ' [\'Bette Midler portrayed Thelma Dickerson, better known as ""Dixie"" Leonhard, in ""The Rose""\']')","(None, None, None, "" ['Bette Midler portrayed Dussie Maitland in The Rose']"")","(None, None, None, "" ['Bette Midler portrayed Dusseldorf Driscoll “Dolly” Levi in The Rose']"")",1,0.7986625147983432,0.73989317715168,0.0,"{'avg': 0.39307707099341904, 'normalized_product': 0.3512524718832357, 'min': 0.12890625, 'concepts': [{'Bette Midler': {'avg': 0.49950657783455127, 'normalized_product': 0.499505852865979, 'min': 0.4980335235}}, {'portrayed': {'avg': 0.49682256580075, 'normalized_product': 0.4968125724573118, 'min': 0.49367141725}}, {'Dusseldorf Driscoll': {'avg': 0.2739864062642857, 'normalized_product': 0.23196899611854047, 'min': 0.12890625}}, {'The Rose': {'avg': 0.4745574295525, 'normalized_product': 0.4738804757130343, 'min': 0.44921875}}]}",1.0
['David Gahan'],who is the lead singer of depeche mode,"(["" ['"", 'D', 'ave', ' G', 'ahan', ' is', ' the', ' lead', ' singer', ' of', ' De', 'pe', 'che', ' Mode', ""']"", '</s>'], array([ 0.        , -0.70010646, -0.69316566, -0.69314718, -0.69314742,
       -0.74638907, -0.69320476, -0.69416336, -0.69315052, -0.69321454,
       -0.69348388, -0.69314718, -0.69314718, -0.69314766, -0.69408747,
       -0.69947668]), [1.0, 0.4965324402, 0.49999076128, 0.5, 0.49999988079071, 0.4740753175, 0.4999712109565, 0.49949216845, 0.49999833107, 0.499966323375, 0.499831676485, 0.5, 0.5, 0.49999976158142, 0.49953007698, 0.49684524535], 'Dave Gahan is the lead singer of Depeche Mode')","(None, None, None, "" ['Dave Gahan is the lead singer of Depeche Mode']"")","(None, None, None, "" ['Dave Gahan is the lead singer of Depeche Mode']"")","(None, None, None, "" ['Dave Gahan is the lead singer of Depeche Mode']"")","(None, None, None, "" ['Dave Gahan is the lead singer of Depeche Mode']"")","(None, None, None, "" ['Dave Gahan is the lead singer of Depeche Mode']"")",0,0.0010395175777375698,0.3143812417984009,0.0,"{'avg': 0.49768137474527924, 'normalized_product': 0.49763248749072575, 'min': 0.4740753175, 'concepts': [{'Dave Gahan': {'avg': 0.4991307705676775, 'normalized_product': 0.4991285109597785, 'min': 0.4965324402}}, {'lead singer': {'avg': 0.49974524976, 'normalized_product': 0.4997451856771962, 'min': 0.49949216845}}, {'Depeche Mode': {'avg': 0.499957859516605, 'normalized_product': 0.49995785420816685, 'min': 0.499831676485}}]}",0.0
['New Orleans'],where did the butchers in the slaughterhouse cases live,"(["" ['"", 'The', ' But', 'ch', 'ers', ' in', ' the', ' Sl', 'aughter', 'house', ' C', 'ases', ' lived', ' in', ' different', ' parts', ' of', ' the', ' United', ' States', ',', ' as', ' the', ' Sl', 'aughter', 'house', ' C', 'ases', ' were', ' a', ' series', ' of', ' legal', ' cases', ',', ' not', ' a', ' story', ' with', ' characters', ' and', ' locations', ""']"", '</s>'], array([-1.22144566e-03, -8.50109424e-01, -1.09083015e+00, -1.29267239e+00,
       -6.93147181e-01, -7.10120866e-01, -8.05490027e-01, -6.99591853e-01,
       -6.93190335e-01, -6.93383720e-01, -1.77385432e+00, -6.93147181e-01,
       -1.17335899e+00, -7.31913895e-01,             nan,             nan,
       -6.93251613e-01, -6.95087882e-01, -1.92920477e+00, -6.93181633e-01,
       -1.08684102e+00, -1.92920477e+00,             nan, -2.10716610e+00,
       -6.93153856e-01, -6.93210840e-01, -6.93469574e-01, -6.93195938e-01,
       -9.48795768e-01, -8.73663723e-01, -7.46485636e-01, -6.93161486e-01,
       -1.92920477e+00, -1.22644011e+00,             nan, -7.28936288e-01,
       -1.27898263e+00,             nan, -1.84233345e+00, -1.67397643e+00,
                   nan, -4.00027788e+00, -9.87033352e-01, -6.93597893e-01]), [0.9987793, 0.42736816499999997, 0.3359375, 0.27453613499999996, 0.5, 0.491584778, 0.446868895, 0.496788025, 0.4999784231185, 0.499881744385, 0.169677735, 0.5, 0.30932617, 0.480987549, -0.00390625, -0.013671899999999959, 0.49994778633, 0.49903059005, 0.14526367, 0.4999827742575, 0.337280275, 0.14526367, -0.001953100000000041, 0.12158203000000001, 0.49999666214, 0.49996817112, 0.49983882904, 0.4999756217, 0.38720703, 0.417419435, 0.474029541, 0.4999928474425, 0.14526367, 0.29333496000000003, -0.34912109999999996, 0.482421875, 0.27832031, -0.20214845000000004, 0.158447265, 0.1875, -0.04296875, 0.01831054999999998, 0.37268066499999997, 0.49977469445], 'The Butchers in the Slaughterhouse Cases lived in different parts of the United States, as the Slaughterhouse Cases were a series of legal cases, not a story with characters and locations')","(None, None, None, ' [\'The Butcher\'s Union Slaughterhouse workers in the Chicago ""Meatpacking District"" lived in and around the Stockyards (packed into substandard housing now referred to as ""Packingtown"").\']')","(None, None, None, "" ['The Butchers in the Slaughterhouse-Five lived in the fictional town of Ilium, New York']"")","(None, None, None, "" ['The Butchers in the Slaughterhouse Cases lived in Cincinnati, Ohio according to the real case']"")","(None, None, None, "" ['The butchers in the Slaughterhouse-Five by Kurt Vonnegut lived in a fictional town of Ilium, New York']"")","(None, None, None, "" ['The Butchers working in the slaughterhouses in Chicago, Illinois during the late 19th century, lived in the nearby neighborhoods and tenements']"")",0,0.9972817897796631,0.8211293943226338,1.0,"{'avg': 0.25170284819000005, 'normalized_product': 3.6382566575310175e-07, 'min': -0.34912109999999996, 'concepts': [{'The Butchers': {'avg': 0.38446044999999995, 'normalized_product': 0.3746774392860053, 'min': 0.27453613499999996}}, {'the Slaughterhouse Cases': {'avg': 0.3532347023333333, 'normalized_product': 4.433631683940566e-06, 'min': -0.001953100000000041}}, {'lived in different parts': {'avg': 0.19318389225000002, 'normalized_product': 6.21065814097114e-16, 'min': -0.013671899999999959}}, {'a series of legal cases': {'avg': 0.24681989224041664, 'normalized_product': 4.019238555325753e-06, 'min': -0.34912109999999996}}]}",1.0
['W. Edwards Deming'],who developed the concept of total quality management,"(["" ['"", 'W', '.', ' Edwards', ' Dem', 'ing', ' developed', ' the', ' concept', ' of', ' Total', ' Quality', ' Management', ""']"", '</s>'], array([ 0.        , -0.75514986, -0.69332398, -0.69491113, -0.69315374,
       -0.69314873, -0.8805598 , -0.69314992, -0.69315326, -0.69316625,
       -0.89778625, -0.69314754, -0.69317365, -0.81841206, -0.69814929]), [1.0, 0.469940185, 0.49991160631, 0.49911880495, 0.4999967217445, 0.4999992251396, 0.41455078, 0.49999862909315, 0.4999969601631, 0.499990463257, 0.4074707, 0.499999821186065, 0.499986767769, 0.44113159, 0.497505188], 'W. Edwards Deming developed the concept of Total Quality Management')","(None, None, None, "" ['W. Edwards Deming developed the concept of total quality management']"")","(None, None, None, "" ['W. Edwards Deming developed the concept of total quality management']"")","(None, None, None, "" ['W. Edwards Deming developed the concept of total quality management']"")","(None, None, None, "" ['W. Edwards Deming developed the concept of Total Quality Management']"")","(None, None, None, "" ['W. Edwards Deming developed the concept of Total Quality Management']"")",0,0.001951346662826836,0.25080431699752803,0.0,"{'avg': 0.48258005538436793, 'normalized_product': 0.48135414621899486, 'min': 0.4074707, 'concepts': [{'W Edwards Deming': {'avg': 0.49379330862882, 'normalized_product': 0.49364557097719863, 'min': 0.469940185}}, {'Total Quality Management': {'avg': 0.4691524296516883, 'normalized_product': 0.46702656210467985, 'min': 0.4074707}}]}",0.0
