answer,prompt,llm_answer,llm_answer__1,llm_answer__2,llm_answer__3,llm_answer__4,llm_answer__5,selfcheck_nli_score,selfcheck_bert_score,fleek_score,lm_v_lm_score,lbhd_score
"['Chhattisgarh', 'Madhya Pradesh']",which state is located in the centre of india,"(["" ['"", 'Mad', 'h', 'ya', ' Pr', 'adesh', ' is', ' located', ' in', ' the', ' center', ' of', ' India', ""']"", '</', 's', '>'], array([-0.69966864,         nan, -0.6954348 , -0.69322145, -0.69346886,
       -0.69316232, -0.93735452, -1.46764   , -0.72492738, -0.6937873 ,
       -1.15614417, -0.69337418, -0.69353325, -0.6958612 , -0.69357142,
       -0.6933749 , -0.69354613]), [0.496749878, -0.03271484999999996, 0.49885749815, 0.499962866305, 0.49983918667, 0.49999243021, 0.39166259999999997, 0.23046875, 0.484359741, 0.499680042265, 0.314697265, 0.499886512755, 0.49980700016, 0.4986448288, 0.499787926675, 0.49988615513, 0.49980056286], 'Madhya Pradesh is located in the center of India')","(None, None, None, ""['Madhya Pradesh is the state located in the centre of India']"")","(None, None, None, ""['Uttar Pradesh is a state located in the center of India']"")","(None, None, None, ""['Uttar Pradesh is the state located in the center of India']"")","(None, None, None, ""['Uttar Pradesh is the state located in the center of India']"")","(None, None, None, ""['Madhya Pradesh state is located in the center of India']"")",0.5547117508889642,0.43484556674957275,0,1.0,"{'avg': 0.4072082535429167, 'normalized_product': 0.0014761763441139175, 'min': -0.03271484999999996, 'concepts': [{'Madhya Pradesh': {'avg': 0.393187426267, 'normalized_product': 5.740392611670356e-07, 'min': -0.03271484999999996}}, {'center': {'avg': 0.314697265, 'normalized_product': 0.314697265, 'min': 0.314697265}}, {'India': {'avg': 0.49980700016, 'normalized_product': 0.49980700016, 'min': 0.49980700016}}]}"
['The Impalas'],who sang i ran all the way home,"(["" ['"", 'A', 'de', 'le', ' sang', ' ""', 'I', ' Ran', ' All', ' the', ' Way', ' Home', '""]', '</', 's', '>'], array([-0.69976848,         nan, -0.88336112, -0.69322813, -0.77913813,
       -1.43327948, -0.73413704, -0.75074371, -0.69613091, -0.80754088,
       -0.69361507, -0.71985254, -1.12897585, -1.10179117, -0.69358382,
       -0.69380591]), [0.49670028685, -0.17773439999999996, 0.41339111500000003, 0.499959528445, 0.45880127, 0.2385254, 0.4799194335, 0.47201538, 0.4985103607, 0.44595337, 0.499766111375, 0.4868240355, 0.32336425999999996, 0.33227539, 0.49978172779, 0.49967074395], 'Adele sang I Ran All the Way Home]</s>')","(None, None, None, ""['Sinead O'Connor performed I Ran All The Way Home']"")","(None, None, None, '[\'Adele sang ""I Ran All the Way Home""\']')","(None, None, None, '[\'Bruno Mars sang ""I Ran All the Way Home""]')","(None, None, None, '[\'Sam Cooke sang ""I Ran All the Way Home""]')","(None, None, None, '[\'Rihanna sang ""I Ran All the Way Home""]\']')",0.9116083383560181,0.4579593122005463,0,0.0,"{'avg': 0.39806824841733335, 'normalized_product': 0.004550814266190281, 'min': -0.17773439999999996, 'concepts': [{'Adele': {'avg': 0.2452054144816667, 'normalized_product': 5.912420706250679e-11, 'min': -0.17773439999999996}}, {'sang ': {'avg': 0.348663335, 'normalized_product': 0.3308107562448022, 'min': 0.2385254}}, {'I': {'avg': 0.4799194335, 'normalized_product': 0.4799194335, 'min': 0.4799194335}}, {'Ran': {'avg': 0.47201538, 'normalized_product': 0.47201538, 'min': 0.47201538}}, {'All': {'avg': 0.4985103607, 'normalized_product': 0.4985103607, 'min': 0.4985103607}}, {'the': {'avg': 0.44595337, 'normalized_product': 0.44595337, 'min': 0.44595337}}, {'Way': {'avg': 0.499766111375, 'normalized_product': 0.499766111375, 'min': 0.499766111375}}, {'Home': {'avg': 0.4868240355, 'normalized_product': 0.4868240355, 'min': 0.4868240355}}]}"
['a Scottish surname'],where did the last name wallace come from,"(["" ['"", 'The', ' last', ' name', ' Wallace', ' comes', ' from', ' Scotland', ""']"", '</', 's', '>'], array([-0.70857782, -0.8493956 , -0.72966403, -0.6933129 , -0.8108997 ,
       -2.68297656, -0.6945663 , -1.61335181,         nan, -0.69356689,
       -0.69330705, -0.69357762]), [0.4923439025, 0.42767334, 0.482070923, 0.499917149545, 0.444458008, 0.068359375, 0.49929094315, 0.19921875, -0.03564455, 0.49979019165, 0.49992007017, 0.49978482723], 'The last name Wallace comes from Scotland')","(None, None, None, '[\'The last name Wallace comes from Scotland, specifically from the Gaelic word ""wallon,"" meaning ""foreigner"" or ""Welshman""]')","(None, None, None, '[\'Scotland is the birthplace of most individuals with the last name "" Wallace"". The given name associated with the name "" Wallace"" is often William or Williamson.\']')","(None, None, None, '[\'The last name Wallace originally comes from Scotland, meaning ""one who lives in a small Scottish fort"" or ""one who lives near the wall of the fort""]')","(None, None, None, ""['The last name Wall ace comes from Scottish ancestors. The name “Wallace” is derived from the Scots Gaelic name “Walhalla” which is the anglicized form of “Fháelic” meaning “free” or “noble”. It was also associated with the Gaelic king of Scotland, William the First (1147-1214), who lived on the Isle of Arran’ which is called the “Eilean-a-Chabhrainn”, or “Isle of Wallace” in English.']"")","(None, None, None, '[\'The last name Wallace is of Scottish descent, meaning it derives from the Gaelic personal name ""Wally"", or ""Wallace""]')",0.0012906432792078703,0.6141840398311615,0,0.0,"{'avg': 0.3744269269564286, 'normalized_product': 0.31554549285281897, 'min': 0.068359375, 'concepts': [{'Scotland': {'avg': 0.19921875, 'normalized_product': 0.19921874999999997, 'min': 0.19921875}}, {'last name': {'avg': 0.4909940362725, 'normalized_product': 0.49091294717565476, 'min': 0.482070923}}, {'Wallace': {'avg': 0.444458008, 'normalized_product': 0.444458008, 'min': 0.444458008}}]}"
['Michael Moriarty'],who was the actor that played ben stone on law and order,"(["" ['"", 'M', 'ichael', ' Imper', 'i', 'oli', ' played', ' Ben', ' Stone', ' on', ' Law', ' &', ' Order', ""']"", '</', 's', '>'], array([-0.70458009,         nan, -0.80624152,         nan, -0.75951028,
       -0.70739307, -1.11510497, -0.81613171, -0.69390134, -0.72063644,
       -0.72090311, -1.39610796, -0.69490348, -0.84086919, -0.69361077,
       -0.69331933, -0.69351155]), [0.494316101, -0.08691404999999996, 0.446533203, -0.07910154999999996, 0.467895508, 0.4929275515, 0.32788086, 0.442138672, 0.499623060225, 0.486442566, 0.486312866, 0.24755860000000002, 0.49912261965, 0.43133545, 0.49976825714, 0.499913930895, 0.4998178482], 'Michael Imperioli played Ben Stone on Law & Order')","(None, None, None, ""['Michael Imperioli played Ben Stone on Law and Order']"")","(None, None, None, '[\'Rob Morrow, an actor known for his roles in television shows such as ""Law & Order,"" played Ben Stone\']')","(None, None, None, ""['John Boyega played Ben Stone on Law & Order: Organized Crime']"")","(None, None, None, ""['James Badami was the actor who played Ben Stone on Law & Order']"")","(None, None, None, ""['Christopher Meloni played Ben Stone on Law & Order: SVU']"")",0.7866616544197313,0.6384306669235229,0,0.0,"{'avg': 0.3525349921979167, 'normalized_product': 4.95310970867183e-06, 'min': -0.08691404999999996, 'concepts': [{'Michael Imperioli': {'avg': 0.24826813250000002, 'normalized_product': 6.346834082884111e-13, 'min': -0.08691404999999996}}, {'played': {'avg': 0.32788086, 'normalized_product': 0.32788086, 'min': 0.32788086}}, {'Ben Stone': {'avg': 0.4708808661125, 'normalized_product': 0.4700028471705863, 'min': 0.442138672}}, {'Law & Order': {'avg': 0.41099802855000006, 'normalized_product': 0.39168205662755345, 'min': 0.24755860000000002}}]}"
"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']",who does the voice of nala in the lion king,"(["" ['"", 'N', 'ala', ' in', ' The', ' Lion', ' King', ' is', ' vo', 'iced', ' by', ' Bey', 'on', 'cé', ""']"", '</', 's', '>'], array([-0.69908902, -2.09122955, -0.69406981, -1.14189398, -1.12709013,
       -0.69385983, -0.69379398, -0.79003942, -0.6947621 , -0.69314921,
       -0.69341162, -1.53330916, -0.77840672, -0.69408651, -0.96164594,
       -0.6934586 , -0.69334616, -0.69358239]), [0.4970378875, 0.12353514999999998, 0.49953889847, 0.31921386500000004, 0.32397461, 0.49964380265, 0.4996767044, 0.453826905, 0.4991931915, 0.499998986721, 0.4998677969, 0.21582030000000002, 0.459136963, 0.49953055382, 0.382263185, 0.49984431267, 0.49990051985, 0.49978244305], 'Nala in The Lion King is voiced by Beyoncé')","(None, None, None, ""['the voice of Nala in The Lion King is played by Beyoncé']"")","(None, None, None, ""['Nala’s voice in The Lion King is voiced by Disney actress Raven-Symoné']"")","(None, None, None, ""['Beyoncé does the voice of Nala in The Lion King']"")","(None, None, None, ""['Nala in the Lion King’s animated adaptation is voiced by Beyoncé']"")","(None, None, None, ""['Meryl Streep does the voice of Nala in The Lion King']"")",0.40010540080838836,0.4817966878414154,0,0.0,"{'avg': 0.41484290211238456, 'normalized_product': 0.3876613102406666, 'min': 0.12353514999999998, 'concepts': [{'Nala': {'avg': 0.31153702423499996, 'normalized_product': 0.2484162087169962, 'min': 0.12353514999999998}}, {'The Lion King': {'avg': 0.44109837235, 'normalized_product': 0.43246755180172447, 'min': 0.32397461}}, {'voiced': {'avg': 0.4995960891105, 'normalized_product': 0.49959592665275215, 'min': 0.4991931915}}, {'Beyoncé': {'avg': 0.39149593894000007, 'normalized_product': 0.3671686015386404, 'min': 0.21582030000000002}}]}"
['Max Shippee'],who plays gram on the young and the restless,"(["" ['"", 'M', 'ichael', ' M', 'uh', 'ney', ' plays', ' Gram', ' on', ' The', ' Young', ' and', ' the', ' Rest', 'less', ""']"", '</', 's', '>'], array([-0.70272199,         nan, -1.30700313,         nan, -0.74745179,
       -0.78862827, -0.95496228, -1.10399785, -1.46446708, -1.23312072,
       -0.69367756, -0.6967471 , -0.8147522 , -0.6933439 , -0.6931709 ,
       -0.69710321, -0.69373482, -0.69335129, -0.69356879]), [0.495235443, -0.27148439999999996, 0.27062988499999996, -0.45947265000000004, 0.4735717775, 0.454467775, 0.38482666, 0.33154297, 0.23120117, 0.29138183500000003, 0.49973487855, 0.4982032776, 0.442749025, 0.499901652335, 0.4999881386755, 0.49802589415, 0.4997062683, 0.49989795685, 0.499789237975], 'Michael Muhney plays Gram on The Young and the Restless')","(None, None, None, ""['Michael Greene plays Gram on The Young and the Restless']"")","(None, None, None, ""['Jessica Walsh plays Gram on The Young and the Restless']"")","(None, None, None, ""['Jessica Walter plays Gram on the Young and the Restless']"")","(None, None, None, ""['Maggie Sotterley plays Gram on The Young and the Restless']"")","(None, None, None, ""['Jessica Sheeran plays Gram on The Young and the Restless']"")",0.9877333521842957,0.5621422290802002,0,1.0,"{'avg': 0.29623157104717857, 'normalized_product': 2.328730893624929e-05, 'min': -0.45947265000000004, 'concepts': [{'Michael Muhney': {'avg': 0.0935424775, 'normalized_product': 5.663083066793544e-13, 'min': -0.45947265000000004}}, {'plays': {'avg': 0.38482666, 'normalized_product': 0.38482666, 'min': 0.38482666}}, {'Gram': {'avg': 0.33154297, 'normalized_product': 0.33154297, 'min': 0.33154297}}, {'The Young and the Restless': {'avg': 0.4553264678600834, 'normalized_product': 0.44747464677566307, 'min': 0.29138183500000003}}]}"
['United States Oath of Allegiance'],what is the oath that new citizens take,"(["" ['"", 'New', ' citizens', ' take', ' the', ' O', 'ath', ' of', ' Al', 'leg', 'iance', ' to', ' the', ' United', ' States', ' of', ' America', ""']"", '</', 's', '>'], array([-0.70164418, -1.18806806, -0.69640834, -0.94911108, -1.15614417,
       -1.02849699, -0.69317674, -0.69406981, -0.74054823, -0.69317973,
       -0.69319761, -4.48912466, -0.70770267, -0.6936561 , -0.69318652,
       -1.28161768, -0.69334497, -0.80398872, -0.69421109, -0.69342259,
       -0.69357404]), [0.4957695005, 0.30480957, 0.498372078, 0.38708496000000003, 0.314697265, 0.35754395, 0.499985218048, 0.49953889847, 0.47685241700000003, 0.499983727932, 0.499974787235, 0.011230469999999992, 0.4927749635, 0.499745607375, 0.499980330467, 0.27758789, 0.499901115895, 0.447540285, 0.49946832655, 0.49986231327, 0.49978661537], 'New citizens take the Oath of Allegiance to the United States of America')","(None, None, None, ""['The oath of allegiance is the oath that new citizens take']"")","(None, None, None, ""['New citizens in the US take an oath of allegiance to the United States']"")","(None, None, None, ""['New citizens take the oath of allegiance to the United States']"")","(None, None, None, ""['new citizens take the Oath of Allegiance to the United States']"")","(None, None, None, ""['New citizens take the oath of allegiance as part of the naturalization process, declaring their intention to renounce their former allegiance and pledge loyalty to the United States']"")",0.07169411638751626,0.5044696271419525,0,0.0,"{'avg': 0.4147019346751429, 'normalized_product': 0.3366774413735996, 'min': 0.011230469999999992, 'concepts': [{'New citizens': {'avg': 0.401590824, 'normalized_product': 0.38975451093628977, 'min': 0.30480957}}, {'Oath of Allegiance': {'avg': 0.4723131664475, 'normalized_product': 0.4690192258753867, 'min': 0.35754395}}, {'United States of America': {'avg': 0.44430373593425, 'normalized_product': 0.43151573003676696, 'min': 0.27758789}}]}"
['Anakin Skywalker'],who is under the mask of darth vader,"(["" ['"", 'D', 'arth', ' V', 'ader', ' is', ' under', ' the', ' mask', ' of', ' An', 'ak', 'in', ' Sky', 'walk', 'er', ""']"", '</', 's', '>'], array([-0.70351569, -1.72746512, -0.69317162, -0.69353588, -0.69316578,
       -1.34281963, -1.44667493, -0.76244964, -0.69888182, -0.69624378,
       -0.9090841 , -0.69317698, -0.69319618, -0.69332196, -0.69325126,
       -0.69315982, -0.75090535, -0.69363105, -0.69337048, -0.69356545]), [0.4948425295, 0.177734375, 0.499987781048, 0.49980568886, 0.499990701675, 0.2611084, 0.23535155000000002, 0.466522215, 0.4971408845, 0.49845409395, 0.402893065, 0.499985098839, 0.499975502491, 0.49991261959, 0.499947965145, 0.4999936819075, 0.471939087, 0.49975812435, 0.4998883605, 0.4997909069], 'Darth Vader is under the mask of Anakin Skywalker')","(None, None, None, ""['Anakin Skywalker (later referred to as Darth Vader) is under the mask of Darth Vader']"")","(None, None, None, ""['Darth Vader is under the mask of Anakin Skywalker']"")","(None, None, None, ""['Darth Vader’s real name is Anakin Skywalker, unmasked']"")","(None, None, None, ""['Luke Skywalker is under the mask of Darth Vader']"")","(None, None, None, ""['Darth Vader is masked, so no one is able to know who is under the mask']"")",0.6321169002912939,0.5106800377368927,0,0.0,"{'avg': 0.4359202415337, 'normalized_product': 0.4167342437086644, 'min': 0.177734375, 'concepts': [{'Darth Vader': {'avg': 0.41937963664575, 'normalized_product': 0.38603215948480624, 'min': 0.177734375}}, {'Anakin Skywalker': {'avg': 0.48378465549541666, 'normalized_product': 0.4822954521362449, 'min': 0.402893065}}, {'mask': {'avg': 0.4971408845, 'normalized_product': 0.4971408845, 'min': 0.4971408845}}]}"
"['Sarah', 'Abraham']",who had a baby at 100 in the bible,"(["" ['"", 'No', ' one', ' in', ' the', ' Bible', ' had', ' a', ' baby', ' at', ' ', '1', '0', '0', ""']"", '</', 's', '>'], array([-0.72344783,         nan, -0.87850067, -1.67527942, -0.69387701,
       -0.90274158, -0.95290255, -0.69362031, -0.70223683, -0.70720736,
       -0.74864466, -0.69319141, -0.69316089, -0.69316554, -0.85857129,
       -0.69458922, -0.69336953, -0.69363749]), [0.4850769045, -0.43994140000000004, 0.415405275, 0.18725585, 0.499635219575, 0.405456545, 0.385620115, 0.49976348877, 0.495475769, 0.493019104, 0.473007202, 0.499977886677, 0.499993145466, 0.499990820885, 0.42376709, 0.49927949905, 0.499888837335, 0.4997549057], 'No one in the Bible had a baby at 100')","(None, None, None, ""['Sarah had a baby at 100 in the Bible']"")","(None, None, None, ""['Arthmais, the mother of the prophet Elijah, had a baby at age 100 in the Bible']"")","(None, None, None, ""['Sarah in the book of Genesis had a baby at 100 years old']"")","(None, None, None, ""['the Bible does not mention a baby being born to a woman age 100']"")","(None, None, None, ""['I do not have access to religious texts or specific names of individuals mentioned in religious texts to answer this question']"")",0.7982492224546149,0.6264103058725595,0,1.0,"{'avg': 0.36788882299225006, 'normalized_product': 0.0014518596747977658, 'min': -0.43994140000000004, 'concepts': [{'No one': {'avg': -0.01226806250000001, 'normalized_product': 6.445194139822316e-16, 'min': -0.43994140000000004}}, {'Bible': {'avg': 0.405456545, 'normalized_product': 0.405456545, 'min': 0.405456545}}, {'had': {'avg': 0.385620115, 'normalized_product': 0.385620115, 'min': 0.385620115}}, {'baby': {'avg': 0.495475769, 'normalized_product': 0.495475769, 'min': 0.495475769}}, {'100': {'avg': 0.49998435378100003, 'normalized_product': 0.49998435373917527, 'min': 0.499977886677}}]}"
['18'],what age do you need to be to buy a bb gun,"(["" ['"", 'You', ' need', ' to', ' be', ' at', ' least', ' ', '1', '2', ' years', ' old', ' to', ' buy', ' a', ' BB', ' gun', ""']"", '</', 's', '>'], array([-0.75074371,         nan, -0.78634777, -0.69339111, -0.69342188,
       -1.13086517, -0.69328166, -0.69844454, -0.71421098,         nan,
       -0.70390892, -0.69883962, -0.70736985, -0.69964561, -0.69548642,
       -0.73283431, -0.69592049, -2.05056569, -0.69384027, -0.69334926,
       -0.69354542]), [0.47201538, -0.49560545, 0.45550537, 0.4998780489, 0.4998626709, 0.32275390000000004, 0.49993276596, 0.49735832215, 0.489578247, -0.13818359999999996, 0.49464797975, 0.49716186525, 0.4929389955, 0.496761322, 0.498831749, 0.480545044, 0.4986152649, 0.1286621, 0.4996535778, 0.499898970125, 0.499800920485], 'You need to be at least 12 years old to buy a BB gun')","(None, None, None, ""['the age required to buy a BB gun varies by state, typically between 12 and 18 years old']"")","(None, None, None, ""['to buy a BB gun, you typically need to be at least 14 years old in the US']"")","(None, None, None, ""['In the United States, the legal age to buy a BB gun varies by state, ranging from 13 to 15 years old with parental supervision']"")","(None, None, None, ""['The legal age to buy a BB gun in the US varies by state; some require you to be at least 18 while others allow younger minors with adult supervision']"")","(None, None, None, ""['you need to be at least 10 years old to buy a BB gun']"")",0.47478887715842577,0.5642918050289154,1,0.0,"{'avg': 0.37271362976066663, 'normalized_product': 5.2551748588247893e-05, 'min': -0.49560545, 'concepts': [{'12 years old': {'avg': 0.33580112300000003, 'normalized_product': 1.8627477193152025e-08, 'min': -0.13818359999999996}}, {'BB gun': {'avg': 0.48958015445, 'normalized_product': 0.4894967767109832, 'min': 0.480545044}}]}"
['23 November 1996'],ethiopia flight 961 crashes in to the sea,"(["" ['"", 'E', 'th', 'iop', 'ian', ' Airlines', ' Flight', ' ', '9', '6', '1', ' crashed', ' into', ' the', ' sea', ' in', ' ', '1', '9', '9', '6', ""']"", '</', 's', '>'], array([-0.76572575, -0.87045205, -0.70563789, -0.69318843, -1.0028805 ,
       -0.7347095 , -0.74916094, -0.69541186, -0.69368043, -0.69377871,
       -0.69316292, -1.06111613, -0.74828988, -0.69649828, -3.57283411,
       -2.45413499, -0.86434915, -0.7271666 , -0.69330836, -0.71953916,
       -1.34422314, -0.83115285, -0.69413949, -0.69332112, -0.69356164]), [0.464996338, 0.418762205, 0.4937934875, 0.499979376793, 0.36682128999999997, 0.479644775, 0.4727630615, 0.49886894225, 0.49973344803, 0.4996843338, 0.499992132187, 0.34606933500000003, 0.473175049, 0.49832725525, 0.02807617000000001, 0.0859375, 0.421325685, 0.483276367, 0.49991941452, 0.4869766235, 0.26074219, 0.435546875, 0.49950408935, 0.499913036825, 0.49979281425], 'Ethiopian Airlines Flight 961 crashed into the sea in 1996')","(None, None, None, ""['Ethiopian Airlines Flight 961 tragically crashed into the Red Sea on March 22, 1991']"")","(None, None, None, ""['Ethiopia Airlines Flight 961 crashed into the sea in 1992']"")","(None, None, None, ""['Ethiopia Flight 961 crashed into the sea in 1996']"")","(None, None, None, ""['Ethiopia Flight 961 crashed into the sea near New York in 1996']"")","(None, None, None, ""['Ethiopia Airlines Flight 961 crashed into the Red Sea']"")",0.4654991049435921,0.4451325416564942,0,0.0,"{'avg': 0.3877113580362001, 'normalized_product': 0.32315860174856353, 'min': 0.02807617000000001, 'concepts': [{'Ethiopian Airlines Flight 961': {'avg': 0.473004305206, 'normalized_product': 0.4708544187591598, 'min': 0.36682128999999997}}, {'crashed': {'avg': 0.34606933500000003, 'normalized_product': 0.34606933500000003, 'min': 0.34606933500000003}}, {'into': {'avg': 0.473175049, 'normalized_product': 0.473175049, 'min': 0.473175049}}, {'the sea': {'avg': 0.26320171262500003, 'normalized_product': 0.11828406796366277, 'min': 0.02807617000000001}}, {'in': {'avg': 0.2536315925, 'normalized_product': 0.19028314705902752, 'min': 0.0859375}}, {'1996': {'avg': 0.4103317268333333, 'normalized_product': 0.3944315627955663, 'min': 0.26074219}}]}"
"['Vancouver', 'Mission, British Columbia']",where was percy jackson and the olympians filmed,"(["" ['"", 'Per', 'cy', ' Jackson', ' and', ' the', ' Olymp', 'ians', ' was', ' fil', 'med', ' in', ' New', ' Zealand', ""']"", '</', 's', '>'], array([-0.69872453, -0.75450067, -0.6931535 , -0.69372384, -0.85641318,
       -0.76934192, -0.69696726, -0.69318259, -0.781869  , -0.69992209,
       -0.69317424, -0.97952802, -3.42741713, -2.32380464, -1.46446708,
       -0.69352228, -0.69338253, -0.6935614 ]), [0.4972190857, 0.4702453615, 0.49999684095385, 0.49971175195, 0.424682615, 0.46331787, 0.498093605, 0.49998229742, 0.45755005, 0.496623993, 0.4999864697455, 0.37548828, 0.03247070000000002, 0.0979004, 0.23120117, 0.49981248379, 0.49988234043, 0.499792933465], 'Percy Jackson and the Olympians was filmed in New Zealand')","(None, None, None, ""['Percy Jackson and the Olympians were filmed in New Zealand']"")","(None, None, None, ""['Percy Jackson and the Olympians was filmed in Greece and other locations across Europe and the US']"")","(None, None, None, ""['Percy Jackson and the Olympians was filmed in Hawaii']"")","(None, None, None, ""['Percy Jackson and the Olympians was filmed in Vancouver, Canada']"")","(None, None, None, ""['Percy Jackson and the Olympians was filmed in Hawaii and New Zealand']"")",0.600826808786951,0.4107349872589111,0,0.0,"{'avg': 0.40892694112071926, 'normalized_product': 0.33899528384477157, 'min': 0.03247070000000002, 'concepts': [{'Percy Jackson': {'avg': 0.48998465146795, 'normalized_product': 0.48978308375449636, 'min': 0.4702453615}}, {'the Olympians': {'avg': 0.48713125747333336, 'normalized_product': 0.4868347252185607, 'min': 0.46331787}}, {'filmed': {'avg': 0.49830523137274996, 'normalized_product': 0.4983023951888892, 'min': 0.496623993}}, {'New Zealand': {'avg': 0.06518555000000001, 'normalized_product': 0.05638168601842272, 'min': 0.03247070000000002}}]}"
"['eight', '8']",how many seasons of vampire diaries r there,"(["" ['"", 'There', ' are', ' eight', ' seasons', ' of', ' The', ' V', 'amp', 'ire', ' Di', 'aries', ""']"", '</', 's', '>'], array([-0.70410174, -2.02619693, -0.70130568, -1.39808237, -0.69424737,
       -0.70242162, -1.6244425 , -0.69379494, -0.69315266, -0.69315743,
       -0.69336428, -0.69314909, -0.71506845, -0.69363892, -0.69335367,
       -0.69351561]), [0.4945526125, 0.13183594999999998, 0.4959373475, 0.24707030000000002, 0.49945020675, 0.4953842165, 0.197021485, 0.49967622757, 0.49999725818635, 0.4999948740005, 0.49989145994, 0.4999990463257, 0.48915863, 0.49975419045, 0.499896764755, 0.49981582165], 'There are eight seasons of The Vampire Diaries')","(None, None, None, ""['There are eight seasons of Vampire Diaries']"")","(None, None, None, ""['The Vampire Diaries has 8 seasons']"")","(None, None, None, ""['There are eight seasons of the TV show Vampire Diaries']"")","(None, None, None, ""['There are eight seasons of Vampire Diaries']"")","(None, None, None, ""['There are 8 seasons of The Vampire Diaries']"")",0.0003607191552873701,0.3726627111434937,0,0.0,"{'avg': 0.4151143974338682, 'normalized_product': 0.38104156842634307, 'min': 0.13183594999999998, 'concepts': [{'eight': {'avg': 0.24707030000000002, 'normalized_product': 0.2470703, 'min': 0.24707030000000002}}, {'seasons': {'avg': 0.49945020675, 'normalized_product': 0.49945020675, 'min': 0.49945020675}}, {'The': {'avg': 0.197021485, 'normalized_product': 0.197021485, 'min': 0.197021485}}, {'Vampire': {'avg': 0.49988945325228334, 'normalized_product': 0.4998894305104793, 'min': 0.49967622757}}, {'Diaries': {'avg': 0.49994525313285, 'normalized_product': 0.4999452502388255, 'min': 0.49989145994}}]}"
"['291 episodes', '291']",how many episodes are there in dragon ball z,"(["" ['"", 'There', ' are', ' ', '2', '9', '1', ' episodes', ' in', ' Dragon', ' Ball', ' Z', ""']"", '</', 's', '>'], array([-0.70036386, -1.13237915, -0.69431802, -0.71361898,         nan,
       -0.92696765, -1.04051844, -0.694382  , -0.6998376 , -0.75437089,
       -0.74211741, -0.69352157, -0.70105188, -0.69360505, -0.693383  ,
       -0.69351561]), [0.49640464785, 0.322265625, 0.4994149208, 0.489868164, -0.08740234999999996, 0.39575195, 0.353271485, 0.4993829727, 0.4966659545, 0.4703063965, 0.4761047365, 0.499812841415, 0.4960632325, 0.499771118165, 0.499882102015, 0.49981582165], 'There are 291 episodes in Dragon Ball Z')","(None, None, None, ""['463 episodes make up Dragon Ball Z']"")","(None, None, None, ""['There are 930 episodes in Dragon Ball Z']"")","(None, None, None, ""['There are 520 episodes in the original Dragon Ball Z anime series']"")","(None, None, None, ""['There are 291 episodes in Dragon Ball Z']"")","(None, None, None, ""['There are 530 episodes of Dragon Ball Z']"")",0.7998409366700798,0.34985630512237553,0,1.0,"{'avg': 0.40140388149227274, 'normalized_product': 0.0008979315000453874, 'min': -0.08740234999999996, 'concepts': [{'291 episodes': {'avg': 0.290251014425, 'normalized_product': 1.6255163585087136e-08, 'min': -0.08740234999999996}}, {'Dragon Ball Z': {'avg': 0.48207465813833333, 'normalized_product': 0.48190740439929247, 'min': 0.4703063965}}]}"
['Jacob Tremblay'],who plays auggie in the movie the wonder,"(["" ['"", 'Aug', 'gie', ' is', ' played', ' by', ' Noah', ' Ju', 'pe', ' in', ' the', ' movie', ' The', ' Wonder', ""']"", '</', 's', '>'], array([-0.6997416 , -2.54321464, -0.71405515, -3.67337527, -0.83733786,
       -0.70981051,         nan, -0.70643391, -0.69601613, -0.69885497,
       -0.7013826 , -0.69751691, -1.06819581, -0.74138055, -0.69842153,
       -0.69362914, -0.69330705, -0.69357738]), [0.4967136383, 0.07861328000000001, 0.489654541, 0.025390625, 0.43286133, 0.4917373655, -0.20898439999999996, 0.4934005735, 0.4985675812, 0.49715423585, 0.4958992005, 0.4978199005, 0.34362793, 0.4764556885, 0.49736976625, 0.499759078025, 0.49992007017, 0.49978494644], 'Auggie is played by Noah Jupe in the movie The Wonder')","(None, None, None, ""['Auggie in the movie The Wonder is played by Noah Jupe']"")","(None, None, None, '[\'The actor who plays Auggie in the movie ""The Wonders"" is Tony Shalhoub\']')","(None, None, None, ""['Josh Gad plays Auggie in the movie The Wonder']"")","(None, None, None, '[\'Julianne Moore plays Auggie in the movie ""The Wonder""]')","(None, None, None, ""['Auggie in the movie The Wonder is played by Noah Jupe']"")",0.5996043794089928,0.5750752389431,1,0.0,"{'avg': 0.3547844501192308, 'normalized_product': 0.0017049141077589871, 'min': -0.20898439999999996, 'concepts': [{'Auggie': {'avg': 0.28413391050000003, 'normalized_product': 0.1961972210172827, 'min': 0.07861328000000001}}, {'played': {'avg': 0.43286133, 'normalized_product': 0.43286133, 'min': 0.43286133}}, {'Noah Jupe': {'avg': 0.2609945849, 'normalized_product': 6.265771627648103e-11, 'min': -0.20898439999999996}}, {'movie': {'avg': 0.4978199005, 'normalized_product': 0.4978199005, 'min': 0.4978199005}}, {'The Wonder': {'avg': 0.41004180925, 'normalized_product': 0.40462758429941453, 'min': 0.34362793}}]}"
